,Unnamed: 0,unique_number,name_en,date_inscribed,longitude,latitude,category,category_short,states_name_en,region_en,gdp,count,countbycategory,countbystate,countbyregion,countbyregiondate,countbystatedate,countbycatdate
428,42,837,"Historic Ensemble of the Potala Palace, Lhasa",1994,91.11717,29.65792,Cultural,C,China,Asia and the Pacific,3135.0,2253000.0,869,54,266,88,14,326
429,42,827,City of Luxembourg: its Old Quarters and Fortifications,1994,6.13333,49.61,Cultural,C,Luxembourg,Europe and North America,44298.0,1800000.0,869,1,528,206,1,326
430,43,829,Canaima National Park,1994,-61.5,5.33333,Natural,N,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,3557.0,90500.0,213,3,142,57,2,93
431,42,2316,"Jelling Mounds, Runic Stones and Church",1994,9.42,55.75638889,Cultural,C,Denmark,Europe and North America,27803.0,2223000.0,869,9,528,206,1,326
432,42,754,"Church of the Ascension, Kolomenskoye",1994,37.67389,55.65556,Cultural,C,Russian Federation,Europe and North America,7091.0,5224000.0,869,25,528,206,8,326
433,42,629,"Collegiate Church, Castle and Old Town of Quedlinburg",1994,11.15,51.78333,Cultural,C,Germany,Europe and North America,28297.0,117000.0,869,39,528,206,15,326
434,42,828,Lines and Geoglyphs of Nasca and Palpa,1994,-75.14860999999998,-14.725829999999998,Cultural,C,Peru,Latin America and the Caribbean,4129.0,114000.0,869,11,142,57,9,326
435,42,2243,Gelati Monastery,1994,42.76833333,42.29472222,Cultural,C,Georgia,Europe and North America,2603.0,84452000.0,869,3,528,206,2,326
436,42,2251,Historical Monuments of Mtskheta,1994,44.71639,41.84389,Cultural,C,Georgia,Europe and North America,2603.0,84452000.0,869,3,528,206,2,326
437,42,843,City of Vicenza and the Palladian Villas of the Veneto,1994,11.54944444,45.54916667,Cultural,C,Italy,Europe and North America,27128.0,2799000.0,869,49,528,206,8,326
438,44,870,"Haeinsa Temple Janggyeong Panjeon, the Depositories for the <I>Tripitaka Koreana</I> Woodblocks",1995,128.1,35.8,Cultural,C,Republic of Korea,Asia and the Pacific,148807.0,2611900.0,869,14,266,94,3,349
